Well_Id	Induction	Rel_Cell_Count	Compound_Id	Ref_Id	RefCpd_Id	Similarity	Induction_Ref	Conc_uM_Ref	Rel_Cell_Count_Ref	Trivial_Name_Ref	Known_Act_Ref	Chiral_Ref	Smiles_Ref
170145:01:08_10.00	5.4	103	170145	280904:01:03_10.00	280904	75.6	11.9	10.0	95	PAPP, LY-165,163, p-Aminophenethyl-m-trifluoromethylphenyl piperazine	selective 5-HT1A serotonin receptor agonist.	False	Nc1ccc(CCN2CCN(c3cccc(C(F)(F)F)c3)CC2)cc1
170145:01:08_10.00	5.4	103	170145	246877:01:04_10.00	246877	75.3	6.0	10.0	97	(±)-Verapamil hydrochloride	L-type Ca2+ channel modulator, adrenoceptor antagonist, antiarryhthmic, cardiac depressant, coronary vasodilator, Alpha1 antagonist, adrenegic blocker, ca channel blocker, coronary vasodilator, antiarrhythmic.	False	COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
170145:01:08_10.00	5.4	103	170145	280637:01:03_30.00	280637	75.2	10.4	30.0	103	IMID-4F hydrochloride	imidazoline-based K(ATP) channel blocker.	False	Fc1ccc(CN(C2=NCCN2)c2c(Cl)cccc2Cl)cc1
170145:01:08_10.00	5.4	103	170145	280179:01:03_10.00	280179	75.1	33.3	10.0	94	AMG9810	AMG9810 is a selective and competitive vanilloid receptor 1 (TRPV1) antagonist with IC50 values of 24.5 and 85.6 nM for human and rat TRPV1, repectively.	False	CC(C)(C)c1ccc(/C=C/C(=O)Nc2ccc3c(c2)OCCO3)cc1
170145:01:08_10.00	5.4	103	170145	280360:01:03_10.00	280360	73.8	19.3	10.0	105	CGS-12066A maleate	5-HT1B Serotonin receptor agonist.	False	CN1CCN(c2nc3cc(C(F)(F)F)ccc3n3cccc23)CC1
170145:01:08_10.00	5.4	103	170145	247293:02:03_10.00	247293	73.4	29.7	10.0	104	Proadifen (hydrochloride)	inhibitor of microsomal drug metabolism, Cytochrome P450 mono-oxygenases inhibitor, cytochrome p450 inhibitor, ca antagonist.	False	CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1
170145:01:08_10.00	5.4	103	170145	246897:01:04_10.00	246897	73.1	20.9	10.0	100	Opipramol, dihydrochloride	sigma1, sigma2 receptor agonist, an antagonist at D2, 5HT2, and H1 receptors, atypical antidepressant, antipsychotic, and axiolytic.	False	OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1
170145:01:08_10.00	5.4	103	170145	280189:01:03_10.00	280189	72.8	13.1	10.0	101	SCH 58261	SCH 58261 is a potent, selective and competitive antagonist of adenosine A2A receptor with an IC50 of 15 nM, and displays 323-, 53- and 100-fold more selective for A2A receptor than A1, A2B, and A3 receptors, respectively.	False	Nc1nc2c(cnn2CCc2ccccc2)c2nc(-c3ccco3)nn12
170145:01:08_10.00	5.4	103	170145	404607:02:02_30.00	404607	72.1	64.8	30.0	67	Myxothiazol	it has been used as a complex IIIQo inhibitor in C. elegans cultures. It has also been used to analyze mitochondrial oxygen transport in rat cells. Myxothiazol, an antibiotic with activity against fungi and insects, is a strong inhibitor of mitochondrial cytochrome b/c1-segment of respiratory chain. Myxothiazol binds to the quinol oxidation (Qo) site of the bc1 complex, blocking electron transfer to the Rieske iron-sulfur protein in the mitochondrial respiratory chain. Oxygen consumption blockage leads to a cytostatic effect that could be reversed. Myxothiazol, as other Epothilones, which are known for their anti tumor activity, contains a thiazole ring that is formed by the incorporation of cysteine into the polyketide backbone.	True	CO/C(=C\C(N)=O)[C@H](C)[C@H](/C=C/c1csc(-c2csc([C@@H](C)/C=C/C=C/C(C)C)n2)n1)OC
170145:01:08_10.00	5.4	103	170145	246742:01:04_10.00	246742	72.1	25.4	10.0	107	Amoxapine	Amoxapine is a tetracyclic antidepressant of the dibenzoxazepine family, though it is often classified as a secondary amine tricyclic antidepressant.	False	Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2
181239:01:07_10.00	16.8	96	181239	413047:01:02_30.00	413047	83.8	36.6	30.0	87	Flindokalner	Flindokalner (BMS-204352) is a potassium channel modulator. Flindokalner is a positive modulator of all neuronal Kv7 channel subtypes expressed in HEK293 cells. Flindokalner is also a large conductance calcium-activated K channel (BKca) positive modulator. Flindokalner shows a negative modulatory activity at Kv7.1 channels (Ki=3.7 uM), and acts as a negative modulator of GABAA receptors. Flindokalner shows anxiolytic efficacy in vivo.	True	COc1ccc(Cl)cc1[C@]1(F)C(=O)Nc2cc(C(F)(F)F)ccc21
181239:01:07_10.00	16.8	96	181239	413053:01:04_50.00	413053	83.1	31.8	50.0	95	ONC212	ONC212, a fluorinated-ONC201 analogue, is a promising anti-cancer agent and also a selective agonist of GPR132. ONC212 also induces apoptosis.	False	O=C1C2=C(CCN(Cc3ccccc3)C2)N2CCN=C2N1Cc1ccc(C(F)(F)F)cc1
181239:01:07_10.00	16.8	96	181239	246618:01:04_10.00	246618	82.5	14.0	10.0	94	Sertaconazole (nitrate)	ergosterol synthesis inhibitor.	False	Clc1ccc(C(Cn2ccnc2)OCc2csc3c(Cl)cccc23)c(Cl)c1
181239:01:07_10.00	16.8	96	181239	412996:01:04_30.00	412996	80.4	24.2	30.0	96	FPS-ZM1	FPS-ZM1 is a high-affinity RAGE inhibitor with a Ki of 25 nM.	False	O=C(c1ccc(Cl)cc1)N(Cc1ccccc1)C1CCCCC1
181239:01:07_10.00	16.8	96	181239	246820:12:03_50.00	246820	80.2	39.6	50.0	91	Bifonazole	antifungal, calmodulin antagonist.	False	c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1
181239:01:07_10.00	16.8	96	181239	413118:01:03_50.00	413118	79.9	57.3	50.0	89	FERb 033	Potent and selective ER.b. receptor agonist (Ki = 7.1 nM, EC50 = 4.8 nM). Displays 62-fold selectivity over ER.a..	False	O/N=C/c1ccc(-c2ccc(O)c(F)c2)c(Cl)c1O
181239:01:07_10.00	16.8	96	181239	412996:01:04_50.00	412996	79.60000000000001	51.5	50.0	87	FPS-ZM1	FPS-ZM1 is a high-affinity RAGE inhibitor with a Ki of 25 nM.	False	O=C(c1ccc(Cl)cc1)N(Cc1ccccc1)C1CCCCC1
181239:01:07_10.00	16.8	96	181239	413121:01:03_50.00	413121	79.3	35.6	50.0	87	M 25	Potent Smoothened (Smo) receptor antagonist (IC50 = 5 nM). Inhibits the Hedgehog signaling pathway. Inhibits Shh induced Gli luciferase reporter activity in Shh-light 2 cells (IC50 = 5 nM). Antagonizes GSA-10 and SAG-mediated differentiation of the C3H10T1/2 cell line (IC50 values are 69 and 115 nM, respectively).	False	CCCC(CCC)C(=O)NCc1ccc2c(cnn2-c2ccccc2OC)c1
181239:01:07_10.00	16.8	96	181239	413013:01:03_50.00	413013	78.4	15.2	50.0	97	IWP L6	IWP L6 (PorcnInhibitorIII) is a Porcn inhibitor with an EC50 of 0.5 nM.	False	O=C(CSc1nc2c(c(=O)n1-c1ccccc1)SCC2)Nc1ccc(-c2ccccc2)cn1
181239:01:07_10.00	16.8	96	181239	413163:01:02_05.00	413163	78.0	17.4	5.0	104		negative control to BAY-1797	False	NS(=O)(=O)c1cc(NC(=O)C2(c3ccccc3Cl)CC2)ccc1Oc1cccc(Cl)c1
186360:01:06_10.00	11.6	107	186360	412989:01:02_30.00	412989	82.1	66.7	30.0	80	OMDM-2	OMDM-2 is an endocannabinoid analog specifically designed to be a potent and selective inhibitor of the cellular uptake of arachidonoyl ethanolamide. Structurally, OMDM-2 is the amide of (R)-tyrosinol with oleic acid. In RBL-2H3 cells, OMDM-2 inhibits the cellular uptake of tritiated AEA with an IC50 of 3 uM, with negligible effects on the CB1 receptor and VR1.	True	CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](CO)Cc1ccc(O)cc1
186360:01:06_10.00	11.6	107	186360	528557:01:02_00.30	407971	81.5	15.9	0.3	102	A-485	A-485 is a potent and selective catalytic inhibitor of p300/CBP with IC50s of 9.8nM and 2.6nM for p300 and CBP histone acetyltransferase (HAT), respectively.	True	CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N(Cc2ccc(F)cc2)[C@@H](C)C(F)(F)F)C1=O
186360:01:06_10.00	11.6	107	186360	520875:01:04_50.00	520875	81.2	54.2	50.0	87	Centrinone-B	Centrinone-B (LCR-323) is a potent and highly selective PLK4 inhibitor, with a Ki of 0.59 nM.	False	COc1c(Nc2cc(C)[nH]n2)nc(Sc2ccc(S(=O)(=O)Cc3cccc([N+](=O)[O-])c3F)cc2F)nc1N1CCCCC1
186360:01:06_10.00	11.6	107	186360	392592:01:09_02.00	392592	80.9	24.4	2.0	101	Ibrutinib (Racemate)	it is a potent and highly selective Btk inhibitor with IC50 of 0.5 nM, modestly potent to Bmx, CSK, FGR, BRK, HCK, less potent to EGFR, Yes, ErbB2, JAK3, etc.	False	C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1
186360:01:06_10.00	11.6	107	186360	520875:01:04_30.00	520875	80.60000000000001	57.9	30.0	91	Centrinone-B	Centrinone-B (LCR-323) is a potent and highly selective PLK4 inhibitor, with a Ki of 0.59 nM.	False	COc1c(Nc2cc(C)[nH]n2)nc(Sc2ccc(S(=O)(=O)Cc3cccc([N+](=O)[O-])c3F)cc2F)nc1N1CCCCC1
186360:01:06_10.00	11.6	107	186360	528557:01:02_00.50	407971	80.60000000000001	15.5	0.5	109	A-485	A-485 is a potent and selective catalytic inhibitor of p300/CBP with IC50s of 9.8nM and 2.6nM for p300 and CBP histone acetyltransferase (HAT), respectively.	True	CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N(Cc2ccc(F)cc2)[C@@H](C)C(F)(F)F)C1=O
186360:01:06_10.00	11.6	107	186360	413179:01:02_05.00	413179	79.4	26.4	5.0	104		PPTN is an antagonist of P2RY14 (GPR105). IC50 = 0.5 nM (FLIPR assay). Negative control = PPTN-1-NC	False	O=C(O)c1cc(-c2ccc(C3CCNCC3)cc2)c2ccc(-c3ccc(C(F)(F)F)cc3)cc2c1
186360:01:06_10.00	11.6	107	186360	408952:02:04_10.00	408952	79.3	76.5	10.0	100		BI-4659 is a potent inhibitor of Alk5 (TGFßR1) with an IC50 value of 19 nM and shows selectivity against a broad panel of other kinases. BI-4659 blocks the phosphorylation of Smad2 and Smad3 in HaCaT cells with an EC50 of 185 nM. Negative control = BI-4101	False	CCNC(=O)c1ccc2c(/C(=N/c3ccc(CN(C)C)cc3)c3ccccc3)c(O)[nH]c2c1
186360:01:06_10.00	11.6	107	186360	411099:01:12_00.50	411099	79.10000000000001	7.3	0.5	104	LDN193189 hydrochloride, DM-;3189	potent and selective ALK2 and ALK3 inhibitor (IC50 values are 5 and 30 nM, respectively); inhibits BMP4-mediated Smad1/5/8 activation. Exhibits &gt;200-fold selectivity for BMP signaling over TGF-? signaling. Also exhibits selectivity over AMPK, PDGFR and MAPK signaling.	False	c1ccc2c(-c3cnn4cc(-c5ccc(N6CCNCC6)cc5)cnc34)ccnc2c1
186360:01:06_10.00	11.6	107	186360	391935:01:02_02.00	391935	79.0	20.9	2.0	95		inhibitor of GSK3-beta (IC50 = 0.1 µM); Novel pyrazolopyrimidine derivatives as GSK-3 inhibitors.  Bioorg Med Chem Lett.  (2004),  14(9),  2121-2125.	False	COc1cc(/C=N/Nc2ncnc3c2cnn3-c2ccccc2)ccc1O
189445:01:05_10.00	5.2	96	189445	246365:01:04_30.00	246365	83.39999999999999	20.9	30.0	102	Lobelanidine hydrochloride	nicotinic ligand.	False	CN1C(CC(O)c2ccccc2)CCCC1CC(O)c1ccccc1
189445:01:05_10.00	5.2	96	189445	246632:01:04_30.00	246632	83.2	25.6	30.0	95	Pronethalol hydrochloride	adrenergic receptor antagonist.	False	CC(C)NCC(O)c1ccc2ccccc2c1
189445:01:05_10.00	5.2	96	189445	410645:01:03_02.00	410645	83.2	24.7	2.0	95	NPS-2143	NPS-2143 (SB-262470A), an orally active calcilytic agent, is a selective and potent calcium ion-sensing receptor (CaSR) antagonist. NPS-2143 (SB-262470A) blocks increases in cytoplasmic Ca2+ concentrations (IC50=43 nM) elicited by activating the Ca2+ receptor in HEK 293 cells expressing the human Ca2+ receptor.	True	CC(C)(Cc1ccc2ccccc2c1)NC[C@@H](O)COc1cccc(Cl)c1C#N
189445:01:05_10.00	5.2	96	189445	410057:01:03_02.00	410057	82.6	50.6	2.0	93	DDR1-IN-1	DDR1-IN-1 is a potent and selective DDR1 receptor tyrosine kinase inhibitor with an IC50 of 105 nM; 4-fold less potent for DDR2 (IC50 = 413 nM).	False	CCN1CCN(Cc2ccc(C(=O)Nc3ccc(C)c(Oc4ccc5c(c4)CC(=O)N5)c3)cc2C(F)(F)F)CC1
189445:01:05_10.00	5.2	96	189445	246903:01:04_30.00	246903	81.89999999999999	30.1	30.0	94	Nicergoline	Nicergoline, an ergoline derivative ester of bromonicotinic acid, is a potent, selective and orally active antagonist of .a.1A-adrenoceptor. Nicergoline has vasodilator effects. Nicergoline also has ameliorative effects on cognitive function in mouse models of Alzheimer&#x27;s disease.	True	CO[C@]12C[C@@H](COC(=O)c3cncc(Br)c3)CN(C)[C@@H]1Cc1cn(C)c3cccc2c13
189445:01:05_10.00	5.2	96	189445	281051:01:03_30.00	281051	81.2	39.2	30.0	94	Zimelidine dihydrochloride	serotonin reuptake inhibitor, antidepressant.	False	CN(C)C/C=C(/c1ccc(Br)cc1)c1cccnc1
189445:01:05_10.00	5.2	96	189445	410762:01:03_02.00	410762	80.80000000000001	26.4	2.0	95	Linrodostat	Linrodostat (BMS-986205) is a selective and irreversible indoleamine 2,3-dioxygenase 1 (IDO1) inhibitor with an IC50 value of 1.1 nM in IDO1-HEK293 cells. Linrodostat is well tolerated with potent pharmacodynamic activity in advanced cancers.	True	C[C@@H](C(=O)Nc1ccc(Cl)cc1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1
189445:01:05_10.00	5.2	96	189445	246419:01:08_30.00	246419	80.4	37.0	30.0	94	Quinidine hydrochloride monohydrate	heme polymerase inhibitor.	True	C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12
189445:01:05_10.00	5.2	96	189445	280189:01:03_30.00	280189	80.30000000000001	65.1	30.0	74	SCH 58261	SCH 58261 is a potent, selective and competitive antagonist of adenosine A2A receptor with an IC50 of 15 nM, and displays 323-, 53- and 100-fold more selective for A2A receptor than A1, A2B, and A3 receptors, respectively.	False	Nc1nc2c(cnn2CCc2ccccc2)c2nc(-c3ccco3)nn12
189445:01:05_10.00	5.2	96	189445	246861:01:12_03.00	246861	80.0	19.2	3.0	100	Astemizole	Astemizole (R 43512), a second-generation antihistamine drug to diminish allergic symptoms with a long duration of action, is a histamine H1-receptor antagonist, with an IC50 of 4 nM. Astemizole also shows potent hERG K+ channel blocking activity with an IC50 of 0.9 nM. Astemizole has antipruritic effects.	False	COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
203468:01:05_10.00	35.9	81	203468	409831:01:03_03.00	409831	86.3	78.9	3.0	82	JQEZ5	JQEZ5 is a potent and selective EZH2 lysine methyltransferase inhibitor. JQEZ5 SAM-competitive inhibition of polycomb repressive complex 2 (PRC2) with an IC50 of 80 nM. JQEZ5 has anti-tumor effects.	False	CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccc(N3CCN(C)CC3)nc2)nc2c1cnn2C(C)C
203468:01:05_10.00	35.9	81	203468	410118:02:05_50.00	410118	85.5	84.1	50.0	67	VPS34 inhibitor 1 (Compound 19, PIK-III analogue)	VPS34 inhibitor 1 (Compound 19, PIK-III analogue) is a potent and selective inhibitor of VPS34 with an IC50 of 15 nM.	False	CC(C)(O)CNc1ncc(-c2ccnc(Nc3ccncc3)n2)c(CC2CC2)n1
203468:01:05_10.00	35.9	81	203468	410624:01:05_00.60	410624	85.2	77.0	0.6	73	AZD-7762	AZD7762 is a potent and selective inhibitor of Chk1 with IC50 of 5 nM in a cell-free assay. It is equally potent against Chk2 and less potent against CAM, Yes, Fyn, Lyn, Hck and Lck. Phase 1.	True	NC(=O)Nc1cc(-c2cccc(F)c2)sc1C(=O)N[C@H]1CCCNC1
203468:01:05_10.00	35.9	81	203468	413090:01:05_50.00	413090	84.3	48.5	50.0	83	VU591	VU591 is a potent, selective renal outer medullary potassium channel (ROMK or Kir1.1) inhibitor, with an IC50 of 0.24 uM.	False	O=[N+]([O-])c1ccc2[nH]c(COCc3nc4cc([N+](=O)[O-])ccc4[nH]3)nc2c1
203468:01:05_10.00	35.9	81	203468	410624:01:04_00.60	410624	83.89999999999999	74.8	0.6	76	AZD-7762	AZD7762 is a potent and selective inhibitor of Chk1 with IC50 of 5 nM in a cell-free assay. It is equally potent against Chk2 and less potent against CAM, Yes, Fyn, Lyn, Hck and Lck. Phase 1.	True	NC(=O)Nc1cc(-c2cccc(F)c2)sc1C(=O)N[C@H]1CCCNC1
203468:01:05_10.00	35.9	81	203468	382124:04:03_00.20	382124	83.8	36.4	0.2	96	A-769662	A-769662 is a potent, reversible AMPK activator with EC50 of 0.8 uM.	False	N#Cc1c(O)nc2scc(-c3ccc(-c4ccccc4O)cc3)c2c1O
203468:01:05_10.00	35.9	81	203468	413049:01:04_50.00	413049	83.39999999999999	64.4	50.0	90	4-CMTB	(+/-)-4-CMTB is a positive allosteric modulator of free fatty acid receptor 2 (FFAR2/GPR43) with an EC50 value of 0.42 uM for [35S]GTP.g.S binding to 293 T-REx cell membranes expressing the human receptor. It selectively induces ERK1/2 phosphorylation in 293 T-REx cells expressing human FFAR2, but not FFAR1 or FFAR3.	False	CC(C)C(C(=O)Nc1nccs1)c1ccc(Cl)cc1
203468:01:05_10.00	35.9	81	203468	246899:01:05_10.00	246899	83.3	67.5	10.0	100	Tamoxifen (Citrate)	Tamoxifen Citrate (ICI 46474) is an orally active, selective estrogen receptor modulator (SERM) which blocks estrogen action in breast cells and can activate estrogen activity in other cells, such as bone, liver, and uterine cells.Tamoxifen Citrate is a potent Hsp90 activator and enhances the Hsp90 molecular chaperone ATPase activity. Tamoxifen Citrate also potent inhibits infectious EBOV Zaire and Marburg (MARV) with IC50 of 0.1 uM and 1.8 uM, respectively. Tamoxifen Citrate activates autophagy and induces apoptosis.	False	CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
203468:01:05_10.00	35.9	81	203468	407736:02:04_10.00	407736	83.0	68.0	10.0	84	ML347	ML347(DN193719) is a highly selective ALK1/ALK2 inhibitor with IC50s of 46/32 nM; shows &gt;300-fold selectivity for ALK2 vs. ALK3.IC50 value:Target: ALK1/ALK2ML347 has IC50s of 46 and 32 nM, respectively, against ALK1 and ALK2; however, the IC50 against ALK3 is 10,800 nM, &gt;300-fold selective over ALK3. ML347 is completely inactive against allthe other kinases tested (with weak activity against ALK6, 9830 nM and KDR (VEGFR2)19,700 nM). ML347 is potent in the BMP4 cell assay (152 nM).	False	COc1ccc(-c2cnc3c(-c4cccc5ncccc45)cnn3c2)cc1
203468:01:05_10.00	35.9	81	203468	391925:03:05_00.20	391925	82.69999999999999	73.7	0.2	62	TCS JNK 5a	inhibitor of c-Jun N-terminal kinase 2/3 (IC50 = 0.3/0.2 µM), Inhibitor of binding or entry into cells for Lassa Virus (IC50 = 0.2 µM); N-(3-Cyano-4,5,6,7-tetrahydro-1-benzothien-2-yl)amides as potent, selective, inhibitors of JNK2 and JNK3.  Bioorg Med Chem Lett.  (2007),  17(5),  1296-1301.	False	N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCC2
206069:01:05_10.00	5.4	95	206069	410285:01:04_03.00	410285	81.6	36.4	3.0	102	Nemiralisib	Nemiralisib (GSK2269557 free base) is a potent and highly selective PI3K.d. inhibitor with a pKi of 9.9.	False	CC(C)N1CCN(Cc2cnc(-c3cc(-c4cccc5[nH]ccc45)cc4[nH]ncc34)o2)CC1
206069:01:05_10.00	5.4	95	206069	410285:01:03_03.00	410285	80.4	34.9	3.0	100	Nemiralisib	Nemiralisib (GSK2269557 free base) is a potent and highly selective PI3K.d. inhibitor with a pKi of 9.9.	False	CC(C)N1CCN(Cc2cnc(-c3cc(-c4cccc5[nH]ccc45)cc4[nH]ncc34)o2)CC1
206069:01:05_10.00	5.4	95	206069	246554:01:05_10.00	246554	79.80000000000001	12.8	10.0	95	Dehydroisoandrosterone 3-acetate	Dehydroepiandrosterone 3-acetate is a testosterone/estrogen precursor and known modulator of vertebrate aggression.	True	CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]32)C1
206069:01:05_10.00	5.4	95	206069	246889:02:03_10.00	246889	79.5	42.8	10.0	107	Loperamide (hydrochloride)	Loperamide (hydrochloride) (R-18553 (hydrochloride)) is an opioid receptor agonist. Loperamide hydrochloride is a selective and competitive human intestinal carboxylesterases (hiCE) inhibitor. Loperamide hydrochloride has anti-diarrheal effect.	False	CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1
206069:01:05_10.00	5.4	95	206069	528542:01:02_05.00	528542	79.3	16.6	5.0	96			False	C=CC(=O)Nc1ccc2nc(O)n(C3CCN(Cc4ccc(-c5ccc6c(c5)NC(=O)CO6)cc4)CC3)c2c1
206069:01:05_10.00	5.4	95	206069	410516:01:04_10.00	410516	79.2	39.7	10.0	95		it is a very potent and highly selective inhibitor of the enzymatic activity of Cathepsin C. It blocks human CatC in vitro with an IC50 of 1.8 nM and shows &gt; 1500x selectivity versus the related proteases Cathepsin B, F, H, K, L and S. BI-9740 displays no activity against 34 unrelated proteases from different classes up to a concentration of 10 µM. BI-9740 fully inhibits the production of active neutrophil elastase in the human U937 cell line with an IC50 of 5.4 nM.	True	CN1C(=O)Cc2ccc(-c3ccc(C[C@@H](C#N)NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)c(F)c3)cc21
206069:01:05_10.00	5.4	95	206069	247155:02:03_10.00	247155	78.5	20.4	10.0	105	Propafenone hydrochloride	blocks hKv1.5 and ATP-sensitive K+ channels, beta-adrenoceptor antagonist, Beta adrenergic antagonist, antiarrhythmic.	False	CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1
